date,diversity,tmrca,netau,serialInterval,antigenicDiversity,totalN,totalS,totalI,totalR,totalCases,northDiversity,northTmrca,northNetau,northSerialInterval,northAntigenicDiversity,northN,northS,northI,northR,northCases,tropicsDiversity,tropicsTmrca,tropicsNetau,tropicsSerialInterval,tropicsAntigenicDiversity,tropicsN,tropicsS,tropicsI,tropicsR,tropicsCases,southDiversity,southTmrca,southNetau,southSerialInterval,southAntigenicDiversity,southN,southS,southI,southR,southCases
0.0277,0.0286,0.0264,0.2740,0.00820,0.0000,3000000,2999980,20,0,38,0.0000,0.0000,0.0000,0.00000,0.0000,1000000,1000000,0,0,0,0.0302,0.0264,0.2740,0.00899,0.0000,1000000,999980,20,0,38,0.0000,0.0000,0.0000,0.00000,0.0000,1000000,1000000,0,0,0
0.0548,0.0627,0.0541,0.2740,0.00729,0.0000,3000000,2999936,64,0,114,0.0000,0.0000,0.0000,0.00000,0.0000,1000000,1000000,0,0,0,0.0607,0.0544,0.2740,0.00721,0.0000,1000000,999936,64,0,114,0.0000,0.0000,0.0000,0.00000,0.0000,1000000,1000000,0,0,0
0.0822,0.1122,0.0818,0.2740,0.01031,0.0677,3000000,2999832,168,0,318,0.0000,0.0000,0.0000,0.00000,0.0000,1000000,1000000,0,0,0,0.1121,0.0818,0.2740,0.00971,0.0650,1000000,999832,168,0,318,0.0000,0.0000,0.0000,0.00000,0.0000,1000000,1000000,0,0,0
0.1096,0.1654,0.1092,0.2740,0.00961,0.0757,3000000,2999629,371,0,704,0.0000,0.0000,0.0000,0.00000,0.0000,1000000,1000000,0,0,1,0.1659,0.1093,0.2740,0.01023,0.0775,1000000,999629,371,0,703,0.0000,0.0000,0.0000,0.00000,0.0000,1000000,1000000,0,0,0
0.1370,0.2171,0.1367,0.2740,0.01017,0.0840,3000000,2999054,946,0,1827,0.0011,0.0011,0.2740,0.00234,0.0000,1000000,999998,2,0,2,0.2169,0.1366,0.2740,0.01012,0.0846,1000000,999056,944,0,1825,0.0000,0.0000,0.0000,0.00000,0.0000,1000000,1000000,0,0,0
0.1644,0.2737,0.1640,0.2740,0.00960,0.1035,3000000,2997884,2116,0,4231,0.0376,0.0316,0.2740,0.00801,0.0000,1000000,999987,13,0,17,0.2713,0.1641,0.2740,0.00941,0.1024,1000000,997897,2103,0,4210,0.0000,0.0000,0.0000,0.00000,0.0000,1000000,1000000,0,0,4
0.1918,0.3245,0.1914,0.2740,0.00933,0.1058,3000000,2994813,5187,0,9821,0.1325,0.1874,0.2740,0.01244,0.0072,1000000,999961,39,0,68,0.3262,0.1912,0.2740,0.00937,0.1171,1000000,994858,5142,0,9738,0.1071,0.1793,0.2740,0.00473,0.0000,1000000,999994,6,0,15
0.2195,0.3792,0.2190,0.2740,0.00973,0.1431,3000000,2987787,12213,0,23485,0.2378,0.2192,0.2740,0.00789,0.0077,1000000,999827,173,0,312,0.3815,0.2190,0.2740,0.00999,0.1480,1000000,987988,12012,0,23118,0.3355,0.2190,0.2740,0.00971,0.0000,1000000,999972,28,0,55
0.2468,0.4358,0.2464,0.2740,0.00997,0.1703,3000000,2973766,26234,0,50700,0.3114,0.2460,0.2740,0.00830,0.0759,1000000,999362,638,0,1204,0.4319,0.2464,0.2740,0.00981,0.1643,1000000,974492,25508,0,49316,0.3701,0.2464,0.2740,0.00743,0.1549,1000000,999912,88,0,180
0.2742,0.4858,0.2737,0.2740,0.01112,0.1912,3000000,2955197,44803,0,89036,0.3583,0.2737,0.2740,0.00921,0.0755,1000000,998337,1663,0,3135,0.4878,0.2737,0.2740,0.01068,0.1913,1000000,957102,42898,0,85471,0.4283,0.2738,0.2740,0.00926,0.1874,1000000,999758,242,0,430
0.3016,0.5385,0.3008,0.5189,0.01128,0.2091,3000000,2940962,59038,0,119633,0.4267,0.3014,0.3459,0.00985,0.1067,1000000,996409,3591,0,6739,0.5396,0.3014,0.5238,0.01165,0.2279,1000000,945249,54751,0,111595,0.4996,0.3014,0.4628,0.00866,0.3078,1000000,999304,696,0,1299
0.3290,0.5841,0.3285,1.5656,0.01207,0.2214,3000000,2940028,59972,0,122866,0.4880,0.3288,0.5383,0.00955,0.1308,1000000,992761,7239,0,14243,0.5946,0.3286,2.2831,0.01307,0.2506,1000000,949364,50636,0,104641,0.5665,0.3288,1.2923,0.00895,0.3683,1000000,997903,2097,0,3982
0.3564,0.6357,0.3558,3.9139,0.01301,0.2572,3000000,2943021,56979,0,113641,0.5384,0.3558,0.6554,0.01057,0.1624,1000000,986404,13596,0,26652,0.6432,0.3560,6.5232,0.01419,0.2744,1000000,962946,37054,0,75007,0.6202,0.3558,1.7562,0.00882,0.4207,1000000,993671,6329,0,11982
0.3838,0.6782,0.3833,3.1857,0.01201,0.3037,3000000,2935984,64016,0,125319,0.5989,0.3833,0.6699,0.01032,0.1688,1000000,977222,22778,0,45047,0.6972,0.3832,19.5695,0.01685,0.3125,1000000,976747,23253,0,46181,0.6694,0.3832,2.5846,0.00912,0.4402,1000000,982015,17985,0,34091
0.4112,0.7262,0.4101,3.1491,0.01082,0.3745,3000000,2912186,87814,0,172734,0.6545,0.4105,0.6989,0.01192,0.1954,1000000,968317,31683,0,63857,0.7452,0.4110,19.5695,0.01777,0.3579,1000000,986706,13294,0,26113,0.7247,0.4107,3.8052,0.00937,0.4687,1000000,957163,42837,0,82764
0.4386,0.7853,0.4382,6.3715,0.01067,0.4400,3000000,2880589,119411,0,240538,0.7022,0.4378,1.6022,0.01232,0.2539,1000000,963736,36264,0,73620,0.7996,0.4377,45.6621,0.01852,0.3675,1000000,992587,7413,0,14299,0.7816,0.4378,4.5662,0.00993,0.5092,1000000,924266,75734,0,152619
0.4660,0.8269,0.4653,5.7078,0.01234,0.4981,3000000,2881834,118166,0,243438,0.7607,0.4655,5.4795,0.01300,0.2552,1000000,966489,33511,0,68349,0.8563,0.4656,45.6621,0.01918,0.4067,1000000,995841,4159,0,8129,0.8293,0.4653,4.2808,0.01215,0.5872,1000000,919504,80496,0,166960
